,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,0.006248831528045932,0.003219856071178109,0.0026412590187381104,0.5136707781157952,0.24553832564792802,0.2564780539397145,0.2617662612374405
1,0.0001,0.0017729999455005625,0.0017590911293188214,0.003095639533784519,0.5284134186598078,0.28173354094807906,0.2723426758328927,0.2575356953992597
2,0.0001,5.954666503114928e-05,0.0029758074404713122,0.004736212845579131,0.5386674907653776,0.3604304947071102,0.2585933368588049,0.2459016393442623
3,0.0001,0.000186502512716808,0.0008920740116992094,0.0022486314019568377,0.5334725700332584,0.3365676826398373,0.2892649391856161,0.2659968270756214
4,0.0001,0.00035040825898984647,0.002341428559656852,0.0015529809561462722,0.5303012314895281,0.32273210939333513,0.2649391856160762,0.2755156002115283
5,0.0001,0.00032622531968677366,0.001990087533206045,0.0026412590187381104,0.5219426766602451,0.3248531526224781,0.26916975145425703,0.2617662612374405
6,0.0001,2.8076212404534404e-05,0.0001700107643646067,0.0005237608668462664,0.5220356056017582,0.3782254399369063,0.32734003172924386,0.3019566367001587
7,0.0001,0.0033111603126355256,0.0014893804588577086,0.0015529809561462722,0.5367646759330036,0.2649779417945156,0.2765732416710736,0.2755156002115283
8,0.0001,0.0030451410450115144,0.0010606285129446948,0.00120588029082184,0.524943833881181,0.2687908478856379,0.28503437334743525,0.2818614489687996
9,0.0001,0.0003145277205860212,0.001258242745778886,0.006154939826796157,0.5223992672168557,0.3256866710566665,0.2808038075092544,0.23849814912744585
