,$R^2$,$\kappa$,$P-value$,OTU
0,0.21228724743364916,0.5373090206714567,2.005512231096929e-06,0
1,0.454737987862276,0.6593067210171497,5.4759800152524685e-09,0
2,0.4305719864817715,0.5918186314642131,1.6494638041550826e-07,0
3,0.2260746927784859,0.4905864971348082,1.4275841537342611e-05,0
4,0.3118060033959605,0.6099885017284653,6.823102809483712e-08,0
5,0.4587161454630405,0.6333497634967895,2.113862751066076e-08,0
6,0.4055962950518015,0.5892229357121771,1.8673259591812296e-07,0
7,0.27582341767184104,0.5580745866877448,7.951511423609826e-07,0
8,0.2386218874838959,0.4879908013827722,1.5844052860791007e-05,0
9,0.22090051922722972,0.5243305419112765,3.5168706254951486e-06,0
0,0.7518559800509763,0.7170731707317073,3.991854359562032e-11,1
1,0.6935052533201198,0.6658536585365854,8.643355827999577e-10,1
2,0.5932298623296084,0.5804878048780487,8.971955192843084e-08,1
3,0.7156497720762347,0.6634146341463414,9.952236251846452e-10,1
4,0.6282860582773258,0.6146341463414634,1.5058395646552033e-08,1
5,0.7085482981017733,0.7024390243902439,9.82650519672003e-11,1
6,0.6238201761720202,0.6073170731707317,2.225305770471817e-08,1
7,0.6489258075879307,0.6609756097560975,1.145367612570894e-09,1
8,0.6014858207194796,0.6024390243902438,2.880033274385436e-08,1
9,0.6418850923394058,0.6292682926829268,6.8044872304665905e-09,1
0,0.4914724498382809,0.6380952684793365,4.77953020719259e-09,2
1,0.4906430496598094,0.5548122008083289,3.570634249243918e-07,2
2,0.5169529060612746,0.5572617027986528,3.1707374903223105e-07,2
3,0.4257065950596798,0.4911251490599116,6.600295548558866e-06,2
4,0.5657744715819477,0.6062517426051278,2.659369640203085e-08,2
5,0.4984164601631411,0.5817567227018903,9.410576204879224e-08,2
6,0.6140939890749544,0.6625902883825739,1.2061861306016625e-09,2
7,0.5135212747869595,0.5695092127502717,1.7379890564007038e-07,2
8,0.4435152030321961,0.5156201689631491,2.2348875984305567e-06,2
9,0.4523103701362791,0.5229686749341204,1.5997116210749427e-06,2
0,0.3945380078797559,0.5527847261247429,1.3433537828153344e-06,3
1,0.569504430872523,0.5633139590033095,8.423464090173973e-07,3
2,0.6189701420899754,0.5422554932461764,2.124890562377942e-06,3
3,0.6090464713151191,0.5975339658586508,1.7463429022857374e-07,3
4,0.4819290041721324,0.6001662740782924,1.5417124059047988e-07,3
5,0.6228801976357035,0.6580770549104082,8.723597527716051e-09,3
6,0.6200761787827467,0.6001662740782924,1.5417124059047988e-07,3
