,$R^2$,$\kappa$,$P-value$,OTU
0,0.2178951814175736,0.5165434546551685,4.896306584672969e-06,0
1,0.3368531558053639,0.5528831951836728,1.0051254403318343e-06,0
2,0.3254071728744582,0.6047971102243932,8.802878499528579e-08,0
3,0.2789739726143469,0.5113520631510964,6.089409798251954e-06,0
4,0.2460402823797937,0.5035649758949884,8.413645363552413e-06,0
5,0.2314056604381115,0.5814358484560689,2.7009748803904706e-07,0
6,0.3381382653246743,0.5528831951836728,1.0051254403318343e-06,0
7,0.36133881252094735,0.6333497634967895,2.113862751066076e-08,0
8,0.4063576249924017,0.6281583719927175,2.7524859373749064e-08,0
9,0.18100529352721373,0.5269262376633126,3.1463818520910644e-06,0
0,0.6443169664367916,0.6292682926829268,6.8044872304665905e-09,1
1,0.6607968905392203,0.6024390243902438,2.880033274385436e-08,1
2,0.6857855703236966,0.6658536585365854,8.643355827999577e-10,1
3,0.6927225762792073,0.6536585365853659,1.7407384152830194e-09,1
4,0.6519490303985027,0.6731707317073171,5.645245521431774e-10,1
5,0.6647299023174479,0.6512195121951221,1.999409787917983e-09,1
6,0.689275394286617,0.7,1.1398614512695849e-10,1
7,0.6696308707964698,0.6682926829268293,7.502914749082905e-10,1
8,0.6966892230692243,0.6853658536585366,2.748311746953913e-10,1
9,0.6688847825547091,0.6414634146341462,3.462871708479326e-09,1
0,0.4327800977531948,0.5303171809050916,1.1400462714895204e-06,2
1,0.5285250861338561,0.5425646908567103,6.419270890506786e-07,2
2,0.4648893068561581,0.5646102087696241,2.2137578173028574e-07,2
3,0.7494827775357641,0.6870853082858115,2.8974848137069763e-10,2
4,0.4110966397108827,0.5058221610018542,3.466677396166996e-06,2
5,0.4942420791870832,0.5646102087696241,2.2137578173028574e-07,2
6,0.5172027149008238,0.5842062246922141,8.311729904018179e-08,2
7,0.4827104816108305,0.5793072207115666,1.064947188919512e-07,2
8,0.4273956021257364,0.5131706669728253,2.4959578044607984e-06,2
9,0.3585958899519381,0.4176400893501992,0.00012713443633467073,2
0,0.5737869451156616,0.5781442887600108,4.3683371703923225e-07,3
1,0.5231596852863045,0.6133278151765006,8.203986424053676e-08,3
2,0.5268598816363181,0.5969462394019781,1.8523393491102624e-07,3
3,0.3867482884473923,0.5527847261247429,1.3433537828153344e-06,3
4,0.4760978355761006,0.5633139590033095,8.423464090173973e-07,3
5,0.5809033993215227,0.5764755001015176,4.646362734000754e-07,3
6,0.5770086255183101,0.6001662740782924,1.5417124059047988e-07,3
7,0.5847483171624771,0.5527847261247429,1.3433537828153344e-06,3
8,0.5709287760079561,0.5860460330255234,3.035757333534461e-07,3
9,0.5252234947460963,0.594901657639009,1.9771181435197075e-07,3
0,0.2948810678709112,0.5858131322903304,1.360294698845763e-07,4
1,0.3175786961725673,0.6359898459768683,1.052967684771192e-08,4
2,0.31715431942466354,0.5858131322903304,1.360294698845763e-07,4
3,0.20890958034844295,0.5632336111313883,4.0331923114407846e-07,4
4,0.15564600647367133,0.5707601181843689,2.8199399543537826e-07,4
5,0.3643891443319578,0.6200606151100473,2.466964729861373e-08,4
6,0.1963827134707924,0.5807954609216766,1.7379075779647312e-07,4
7,0.2576683684120342,0.6024880470704913,6.041298477075138e-08,4
8,0.2287819781709697,0.6033749820806187,5.681872158765159e-08,4
9,0.2357132384933459,0.5506894327097538,7.25071628131134e-07,4
0,0.5870804947290886,0.6132438542090667,2.2656060306767365e-08,5
1,0.5336521686004436,0.6157116363185601,1.9897945712341903e-08,5
2,0.5167441809257218,0.6033727257710938,3.789230532961223e-08,5
3,0.4993907144881878,0.6181794184280531,1.7466995670006782e-08,5
4,0.4799356941840662,0.5614204299097089,3.088541957380899e-07,5
5,0.5982561773491469,0.6329861110850126,7.910143341104378e-09,5
6,0.565970135600609,0.5984371615521074,4.885985268251144e-08,5
7,0.6080022034427888,0.6255827647565328,1.1780519752817307e-08,5
8,0.5543845115307222,0.6305183289755193,9.037711806068212e-09,5
9,0.5885512178178061,0.6058405078805871,3.334494310821471e-08,5
0,0.5722033371600909,0.6210871779102908,1.9816983901857485e-08,6
1,0.5805572798890447,0.5521562236014078,5.935232263381237e-07,6
2,0.5032120759435541,0.5496634189801826,6.668766097104169e-07,6
3,0.4692263081925707,0.537199395874056,1.1854524299845793e-06,6
4,0.5207679446278528,0.5347065912528306,1.3280432418317576e-06,6
5,0.6169990416764921,0.5995195114046888,5.9057015951973115e-08,6
6,0.5633053352239584,0.5571418328438584,4.694417502585619e-07,6
7,0.6228504797202536,0.6020123160259141,5.2045676177639344e-08,6
8,0.5789804110247849,0.5899081027139911,9.725224893350961e-08,6
9,0.5206600774763259,0.584562683677337,1.2476467277945485e-07,6
0,0.27749108749526463,0.3783325230272114,0.0005554368078019517,7
1,0.2939036635442785,0.3586148671039691,0.0010657966422616485,7
2,0.3717385759610701,0.44487961176815416,4.912126943166335e-05,7
3,0.19624656804159968,0.3388972111807268,0.0019839674489916625,7
4,0.4735105280405235,0.4522737327393701,3.6713602417096525e-05,7
5,0.3499516342120458,0.4621325607009912,2.4734179200947085e-05,7
6,0.27700146291468986,0.3290383832191057,0.0026763590862458483,7
7,0.31548549730079545,0.3970600090758773,0.00029300928674006306,7
8,0.3889314125272853,0.4276266628353171,9.527251780143154e-05,7
9,0.4918012838133422,0.4892443375954493,8.021045593957304e-06,7
0,-0.09507905069524523,-0.26096947267073456,0.0457979388108198,8
1,-0.0927017815899358,-0.27678580434774874,0.034149976354555536,8
2,0.09340064102564084,0.2497191316511129,0.06347758785656837,8
3,-0.1000619624420851,-0.23724497515521326,0.06941907499936388,8
