,$R^2$,$\kappa$,$P-value$,OTU
0,0.5615261158901745,0.5365079365079365,4.1472689932258035e-06,0
1,0.5741109649209846,0.5206349206349207,7.908234593949084e-06,0
2,0.5055587792413995,0.4888888888888889,2.725883469403675e-05,0
3,0.5133200797934125,0.4857142857142858,3.0729255454863754e-05,0
4,0.498952026909278,0.4984126984126985,1.8946218521807865e-05,0
5,0.5600665833667957,0.5174603174603175,8.97870292845634e-06,0
6,0.578589031444626,0.5587301587301587,1.630365470900112e-06,0
7,0.4345519213972375,0.4507936507936509,0.00010958152797500743,0
8,0.4910314039631576,0.5079365079365079,1.3084561614400615e-05,0
9,0.464370083247839,0.4761904761904763,4.383669461381192e-05,0
0,0.74634299511436,0.415873015873016,0.00035879217467205186,1
1,0.6874984334745725,0.4031746031746032,0.0005407632364550595,1
2,0.7528233780827962,0.4698412698412699,5.5354895468880116e-05,1
3,0.8041204369585705,0.5301587301587302,5.380455334598277e-06,1
4,0.646936841935611,0.526984126984127,6.121845703558987e-06,1
5,0.6806442025711505,0.5777777777777778,7.122056081351194e-07,1
6,0.524487808627156,0.3746031746031746,0.0013065779900060632,1
7,0.6930433976523805,0.45396825396825397,9.79657492449609e-05,1
8,0.5799344389841219,0.415873015873016,0.00035879217467205186,1
9,0.6913036912694149,0.5111111111111112,1.1549236970298755e-05,1
0,0.11230085562910908,0.20985718095105607,0.07213079574139958,2
1,0.12719596948809253,0.23847406926256376,0.04100165357865782,2
2,0.1022658469337654,0.17488098412588007,0.1339835564940759,2
3,0.042319352002812886,0.1335454787870357,0.2524712855343349,2
4,0.0821315030108205,0.18124029263954844,0.12040638911803868,2
5,0.018702670444014524,0.1144675532460306,0.3266487761650272,2
6,0.05588862775107284,0.21621648946472447,0.06391312672545775,2
7,0.07650827420457074,0.1653420213553775,0.15653091739071706,2
8,0.07478490217197531,0.24165372351939796,0.03838121792266582,2
9,0.06694334450669115,0.18124029263954844,0.12040638911803868,2
0,0.5418427038205,0.3594297188696897,0.002326061816116533,3
1,0.5262669376398685,0.3497589641018953,0.003044933001019697,3
2,0.5664240229144024,0.3626533037922877,0.0021234062339376357,3
3,0.4993863985544634,0.3787712284052783,0.0013321718712034714,3
4,0.6341018563109881,0.3014051902629236,0.010664295504992935,3
5,0.4862181355733344,0.2691693410369425,0.022583496372372468,3
6,0.5763312573253032,0.29173443549512923,0.013451744120880429,3
7,0.5354391408314594,0.24660424657875565,0.03668647056966234,3
8,0.4929218678337769,0.29173443549512923,0.013451744120880429,3
9,0.5924004425125591,0.3819948133278764,0.0012110372437175337,3
0,0.4640138430673786,0.4894871369553199,5.8734040757725805e-05,4
1,0.276468730593224,0.2693476738974788,0.027153141213757826,4
2,0.4357882433485223,0.4760304459050018,9.330082153405598e-05,4
3,0.5223715324166598,0.4659379276172633,0.00013101546062355759,4
4,0.4062863124451531,0.4793946186675814,8.319739209780858e-05,4
5,0.3332277114900559,0.3515560536895597,0.0039058742239250523,4
6,0.34517750448578405,0.4659379276172633,0.00013101546062355759,4
7,0.3227750268280858,0.29436511672570786,0.015682288222062288,4
8,0.3958866215130926,0.3616485719772983,0.0029925003658144195,4
9,0.3165161468974044,0.3179143260637645,0.009066802517051322,4
0,0.4684073049393293,0.5762260710918827,8.626010223480381e-07,5
1,0.4237140627070132,0.5251478598039596,7.309723045339157e-06,5
2,0.5491053284887653,0.5559169268863989,2.0966133883371244e-06,5
3,0.4024343028177165,0.4932239777490077,2.532845881516477e-05,5
4,0.4785441317073514,0.5443021890369308,3.3511738041395627e-06,5
5,0.4041512448030994,0.4900315895435125,2.8567922052388312e-05,5
6,0.5186278896244619,0.5826108475028732,6.519177510182082e-07,5
7,0.4647914533177584,0.4772620367215317,4.590633249195339e-05,5
8,0.3522993781104352,0.4581077074885606,9.154257763899555e-05,5
9,0.5109332536520701,0.5570717418589115,1.964167905959013e-06,5
0,0.5351813679114276,0.4453381546665797,0.00014312789605183516,6
1,0.4983473177935495,0.31125785003578155,0.007865237577870016,6
2,0.4998609362825624,0.4166066608171229,0.0003745947903786052,6
3,0.4009998154237626,0.37510561414568544,0.0013600839163256516,6
4,0.5179293747610391,0.4964163659545029,2.24666233292138e-05,6
5,0.4381701501355706,0.36552844952919983,0.00180108214990185,6
6,0.4890766496493488,0.4932239777490077,2.5357726734322566e-05,6
7,0.5195962511049732,0.4676848721050461,6.51006793406669e-05,6
8,0.5415899009518752,0.4389533782555894,0.00017812200972875514,6
9,0.5353125696498211,0.42618382543360855,0.00027354731981974893,6
0,0.2986449013521598,0.5619087898030002,5.591530459335905e-06,7
1,0.3082580315661371,0.5273297873535848,2.027769220874619e-05,7
2,0.4219965521289212,0.4823770841693448,9.678677836992654e-05,7
3,0.4801509813222219,0.6137772934771233,7.032335654818189e-07,7
4,0.3114215700254357,0.5169560866187601,2.9411974889741353e-05,7
5,0.39440667048932987,0.5515350890681755,8.294613955098164e-06,7
6,0.35072992821502946,0.5722824905378249,3.7439440478556833e-06,7
7,0.2768064991211394,0.5273297873535848,2.027769220874619e-05,7
8,0.3813839552215171,0.5342455878434679,1.5766096309380207e-05,7
9,0.3637695242526773,0.5861140915175911,2.170142017766661e-06,7
0,0.011783637586629704,0.04117285850084727,0.7666295819172911,8
1,-0.09031177055152352,-0.21801192710351666,0.11529359710586785,8
2,0.12031310270514195,0.19905436822494996,0.1504634126430148,8
3,-0.059713927734496915,-0.12954331900353885,0.3493895936136495,8
4,-0.09468282291436636,-0.2369694859820833,0.08693692586487904,8
5,0.18282051904926166,0.05379854588777159,0.6979754443364818,8
6,-0.06365171367033184,-0.18009680934638328,0.19327419753326006,8
7,0.04762544227879695,-0.015797965732138885,0.9091436409614424,8
8,0.029198079422013024,-0.08537680122960392,0.5377084921185419,8
9,0.19457921276390988,-0.01897262249546754,0.8910691073481989,8
0,0.0054274941076459795,0.20532968306030333,0.13274397973720362,9
1,-0.025399122308722655,0.024888446431551917,0.8554049650226762,9
2,0.032592598916011406,0.25510657592340713,0.06178691606106749,9
3,0.007774071277024563,0.27999502235495904,0.0403597178302069,9
4,-0.010700316963330405,0.22399601788396725,0.10099713325032544,9
5,-0.013363825417609387,0.20532968306030333,0.13274397973720362,9
6,-0.01482727478597323,0.18666334823663933,0.17171971345598902,9
7,-0.006179308597616506,0.2177739062760793,0.11082811686279108,9
8,-0.017001102986625268,0.2302181294918552,0.09187378125703112,9
9,-0.03110166245124635,0.19288545984452732,0.15787474558160408,9
0,0.22001340219365464,0.3498251311407207,0.003861000924055581,10
1,0.2351221894497445,0.3631518028032243,0.002705394892807213,10
2,0.16420412142289165,0.2931867765750801,0.015456223903107153,10
3,0.16702952689711015,0.3131767840688356,0.009692473659190563,10
4,0.09888334331499317,0.3131767840688356,0.009692473659190563,10
5,0.13259309989379509,0.3637296103329881,0.0027008193214248504,10
6,0.12269735848536778,0.336498459478217,0.005448763289815709,10
7,0.1719645935354489,0.3531567990563465,0.0035362261331185725,10
8,0.21644271334146115,0.3631518028032243,0.002705394892807213,10
9,0.2126328837292225,0.3698151386344761,0.002255087523581437,10
0,0.2743590183334477,0.4254512338807136,0.000584174484167289,11
1,0.2387541950414207,0.3703320456856413,0.0027594435341568692,11
2,0.2490072970111049,0.3772219442100253,0.002295834138718334,11
3,0.246212329134628,0.3427724515881052,0.005595697163157129,11
4,0.2406487740403893,0.3772219442100253,0.002295834138718334,11
5,0.22175611759742356,0.3565522486368733,0.0039521295687374785,11
6,0.2580016708798737,0.39100174125879344,0.0015754858422470561,11
7,0.25902364892624496,0.3634421471612573,0.003307127431888223,11
8,0.2452485696485017,0.38411184273440935,0.0019046079472309317,11
9,0.2725799053924469,0.3565522486368733,0.0039521295687374785,11
0,1.0,,,12
1,1.0,,,12
2,1.0,,,12
3,1.0,,,12
4,1.0,,,12
5,1.0,,,12
6,1.0,,,12
7,1.0,,,12
8,1.0,,,12
9,1.0,,,12
0,0.055678711703927686,0.3380668615239173,0.007980661117705469,13
1,0.03225278789500774,0.3044469526430857,0.01689136523741978,13
2,0.009187447896687684,0.28203368005586466,0.026885109255714846,13
3,0.08196644400015418,0.24674190313750866,0.053008443032780586,13
4,0.03148317160911285,0.3380668615239173,0.007980661117705469,13
5,-0.014963018552775818,0.2334715894502191,0.0669358977347392,13
6,0.06613442276869985,0.3193891343678997,0.01219956569383336,13
7,0.06116469099851163,0.3119180435054927,0.014377481463837782,13
8,0.11329555698636196,0.2596204074686436,0.04162000080892941,13
9,0.04161678883693076,0.2147938622942016,0.09188523141793647,13
0,-0.07679527677037967,-0.2357022603955159,0.09206802466546743,14
1,-0.09800044119088393,-0.22276458459633106,0.11212020371094106,14
2,-0.09835673045532656,-0.22276458459633106,0.11212020371094106,14
3,-0.08747014721425161,-0.21044171232366046,0.13517876838183435,14
4,-0.09498426773699054,-0.22276458459633106,0.11212020371094106,14
5,-0.09048523962061084,-0.2357022603955159,0.09206802466546743,14
6,-0.09691374608336244,-0.21653278478430668,0.12327125185597858,14
7,-0.11396697830274904,-0.2357022603955159,0.09206802466546743,14
8,-0.09496814633958106,-0.2291498472826297,0.10172190603816623,14
9,-0.09871829298194036,-0.2357022603955159,0.09206802466546743,14
0,0.2622064887935158,0.506105029888548,5.0106093029741386e-05,15
1,0.2921411728126554,0.4533857559418242,0.0002804470874502348,15
2,0.1638089209186383,0.4815027020467436,0.00011431532258108816,15
3,0.26958877906439505,0.4885319385729735,9.065618893531132e-05,15
4,0.24140104951838134,0.4112103367844453,0.0009849371565387992,15
5,0.29206933250315115,0.4674442289942839,0.00018013200143333636,15
6,0.3454052101894215,0.4709588472573989,0.00016095695022997098,15
7,0.28781391242815,0.5025904116254329,5.650001552818189e-05,15
8,0.5014139301779633,0.4744734655205138,0.00014371488295760774,15
9,0.10007463826709784,0.4674442289942839,0.00018013200143333636,15
0,0.5410902224015854,0.4599116695711757,0.00017920572966512348,16
1,0.4490921683038535,0.4035869765800879,0.0010013473217759569,16
2,0.37282374450647626,0.4578507717505199,0.00018957308507838507,16
3,0.4635268076693698,0.42732738696715183,0.0004945593039405586,16
4,0.3671768918147319,0.35610615580595983,0.0036952204561783173,16
5,0.4245706251347887,0.4069784637782399,0.0009073065565857084,16
6,0.4339826268614457,0.4578507717505199,0.00018957308507838507,16
7,0.4492755402712081,0.3730635917967199,0.002355486784136602,16
8,0.4262700674871244,0.4700942157609435,0.00012834627738486916,16
9,0.5659249268498913,0.5155060541191039,2.639344143622247e-05,16
0,0.07062049440089048,0.2837009844069552,0.034056170481719585,17
1,-0.08813028101518428,-0.14406143934002158,0.281480560215165,17
2,-0.0575197796168887,-0.2277100170213244,0.08868906574742688,17
3,0.14117729215469987,0.2999789097417805,0.02502534574308277,17
4,-0.031899290547671155,-0.10688429370388697,0.4242532871058045,17
5,-0.03204033618369628,0.15800286895357205,0.2375133192331453,17
6,0.06373937939405094,0.20447430099874028,0.12635266597778932,17
7,-0.03365356994479729,-0.02323571602258412,0.8620937152478747,17
8,-0.04890390238655118,0.2888113453215252,0.03120460101564317,17
9,-0.0623471627821568,-0.1487085825445384,0.2662494163319297,17
0,0.17988288228708382,0.2046123805132276,0.10172165988590752,18
1,0.23823000253697224,0.3095418064174469,0.01329279056625764,18
2,0.24155926211585346,0.3025465113571656,0.015525788415560144,18
3,0.11508246401336852,0.13116178238027412,0.2941416166516032,18
4,0.15130038121774847,0.3375229866585721,0.006941647015346748,18
5,0.21077386438739232,0.3270300440681501,0.00890436030619113,18
6,0.0935918341441888,0.2745653311160405,0.02808674068218608,18
7,0.07762097820832925,0.1871241428625244,0.13447485435817824,18
8,0.2599014034730001,0.21510532310364955,0.08534339674173064,18
9,0.06264621111601942,0.19411943792280567,0.12050978961777654,18
0,1.0,,,19
1,1.0,,,19
2,1.0,,,19
3,1.0,,,19
4,1.0,,,19
5,1.0,,,19
6,1.0,,,19
7,1.0,,,19
8,1.0,,,19
9,1.0,,,19
