,$R^2$,$\kappa$,$P-value$,OTU
0,0.4857391632529942,0.5079365079365079,1.3084561614400615e-05,0
1,0.4902125813356016,0.5047619047619047,1.4813440086803073e-05,0
2,0.5354617934462473,0.4698412698412699,5.5354895468880116e-05,0
3,0.5790027941489461,0.5142857142857143,1.0186808536110021e-05,0
4,0.4902070676021387,0.45396825396825397,9.79657492449609e-05,0
5,0.4904230294484873,0.4666666666666667,6.213752104642586e-05,0
6,0.5575288746552516,0.473015873015873,4.927773203242737e-05,0
7,0.5638032796928598,0.4761904761904763,4.383669461381192e-05,0
8,0.6144428581343019,0.5587301587301587,1.630365470900112e-06,0
9,0.4702790455435659,0.4825396825396826,3.461693484729024e-05,0
0,0.7226279210345493,0.4857142857142858,3.0729255454863754e-05,1
1,0.7954620472492592,0.6126984126984127,1.458958686391867e-07,1
2,0.7654373324081122,0.4793650793650794,3.896881048090664e-05,1
3,0.5387811140565419,0.3365079365079365,0.003881567174227767,1
4,0.7128561556039583,0.5047619047619047,1.4813440086803073e-05,1
5,0.8075678939105082,0.5492063492063493,2.4430075489699315e-06,1
6,0.8190119020876987,0.6031746031746033,2.267666090019597e-07,1
7,0.7707688899749463,0.580952380952381,6.188262569729556e-07,1
8,0.6887115214628209,0.5523809523809524,2.1364317542611214e-06,1
9,0.6742874603684442,0.4666666666666667,6.213752104642586e-05,1
0,0.16882551722010364,0.25437234054673463,0.02927618314003308,2
1,0.1344404562125061,0.25437234054673463,0.02927618314003308,2
2,0.05842924805495786,0.1494437500712066,0.2003336170393196,2
3,0.10614384537953524,0.22257579797839286,0.05648445950157448,2
4,0.09719741033306463,0.1939589096668852,0.09650125154142747,2
5,0.10772777970559556,0.2702706118309056,0.020559266609617863,2
6,0.15546695987168135,0.2798095746014081,0.016497369175874896,2
7,0.1093515905746414,0.24165372351939796,0.03838121792266582,2
8,-0.011902105730301482,0.06359308513668366,0.5857969329334616,2
9,0.08274423015091015,0.2034978724373877,0.08119431873413561,2
0,0.6387137560400828,0.3884419831730726,0.0009987155459163556,3
1,0.5239358634316362,0.3304174545663066,0.005121300155427149,3
2,0.4506712154448366,0.19180330289458772,0.10417077277382862,3
3,0.5921176802214543,0.3787712284052783,0.0013321718712034714,3
4,0.5334454094457559,0.3497589641018953,0.003044933001019697,3
5,0.5686987384724504,0.4303485871668481,0.00026643487889525943,3
6,0.5793092974970981,0.4239014173216519,0.00032903090680678945,3
7,0.5437778509700666,0.369100473637484,0.0017658391402207445,3
8,0.6936747081142169,0.3723240585600821,0.0016086324643197554,3
9,0.6506910264314496,0.3884419831730726,0.0009987155459163556,3
0,0.4456774482757153,0.4020186451282524,0.0009672772643824153,4
1,0.3519559438784702,0.3818336085527753,0.001723284211761608,4
2,0.3951856899061561,0.4020186451282524,0.0009672772643824153,4
3,0.387681431138686,0.4356603727540477,0.00034887068490006227,4
4,0.36232393550407016,0.41211116341599097,0.0007177240130565342,4
5,0.3706770809412741,0.2910009439631283,0.01691211506558897,4
6,0.37578247077798943,0.3851977813153549,0.0015679430570217875,4
7,0.4029634157795866,0.4087469906534115,0.0007933528149572948,4
8,0.34652802632887403,0.41211116341599097,0.0007177240130565342,4
9,0.3759153262562137,0.3246426715889236,0.007704488241882952,4
0,0.4188313749226591,0.4804544249270269,4.081658453330325e-05,5
1,0.31921684247078674,0.4964163659545029,2.244037088493376e-05,5
2,0.4905375461692985,0.5091859187764837,1.3728524555650494e-05,5
3,0.465172979193679,0.5538793536534163,2.247242187184142e-06,5
4,0.3970199500932722,0.5059935305709884,1.5539583056168072e-05,5
5,0.480698157650346,0.563456518269902,1.4972766726335746e-06,5
6,0.4985206167633196,0.5411098008314356,3.823174327347501e-06,5
7,0.4698711514887225,0.5602641300644068,1.715521001058696e-06,5
8,0.5246764937193205,0.515570695187474,1.0692128371448393e-05,5
9,0.4068961402483642,0.5028011423654932,1.757702886104645e-05,5
0,0.5110927765088531,0.4440945565356865,0.00015100071271075826,6
1,0.5622456662159445,0.4472894814028498,0.00013525947090589033,6
2,0.4618478318745776,0.4166066608171229,0.0003745947903786052,6
3,0.580773534544192,0.4676848721050461,6.51006793406669e-05,6
4,0.5232757928444827,0.4229914372281134,0.00030398161615504977,6
5,0.5514261950225666,0.42618382543360855,0.00027354731981974893,6
6,0.4864994817914376,0.4229914372281134,0.00030398161615504977,6
7,0.5516281330056463,0.4389533782555894,0.00017812200972875514,6
8,0.3803184568304981,0.4166066608171229,0.0003745947903786052,6
9,0.5511791517897929,0.4102218844061326,0.00046031705803691036,6
0,0.3903799973236092,0.5100402861288771,3.754676067511557e-05,7
1,0.4082912047104481,0.5169560866187601,2.9411974889741353e-05,7
2,0.43945250860324425,0.5515350890681755,8.294613955098164e-06,7
3,0.3834351553379207,0.5169560866187601,2.9411974889741353e-05,7
4,0.31233854825444063,0.4512559819648709,0.0002653278197631431,7
5,0.41917361413134396,0.5515350890681755,8.294613955098164e-06,7
6,0.4157208307534448,0.5169560866187601,2.9411974889741353e-05,7
7,0.4243234050383059,0.5398610695365251,1.3007325662969427e-05,7
8,0.4017134275834553,0.4823770841693448,9.678677836992654e-05,7
9,0.38796881174249054,0.5584508895580587,6.381829906665116e-06,7
0,-0.0096035714285716,-0.0413048231292858,0.7665699455001128,8
1,0.08603928571428565,0.028618624404469568,0.837154065407778,8
2,-0.03211785714285709,-0.0984171618772635,0.4790315063644487,8
3,-0.19395714285714272,-0.1621722049586609,0.2441408586206738,8
4,0.05672260219884906,0.1105857601249722,0.42438817545258334,8
5,0.08818571428571431,0.050755301485961225,0.7148873600269893,8
6,0.03152142857142859,0.0,1.0,8
7,0.02791428571428578,-0.07643932349587082,0.583553853453005,8
8,-0.003907142857142665,-0.08564957125755956,0.5376015093786313,8
9,-0.018796428571428603,-0.0858558732134087,0.5374950669755569,8
0,-0.03420057952754685,0.2302181294918552,0.09187378125703112,9
1,0.0116210732008748,0.28621713396284704,0.0361172517191334,9
2,-0.012665260588458294,0.2302181294918552,0.09187378125703112,9
3,-0.00037217180736459626,0.2177739062760793,0.11082811686279108,9
4,-0.045028316012839735,0.27377291074707105,0.04501741832687406,9
5,-0.004207015590379282,0.2302181294918552,0.09187378125703112,9
6,-0.030829492776855538,0.2426623527076312,0.07561620880942115,9
7,0.01777352247727615,0.2302181294918552,0.09187378125703112,9
8,0.10913731512401792,0.3546603616496148,0.009411646237066541,9
9,0.08748862717296679,0.3111055803943989,0.02273662215071241,9
0,0.13575944700696052,0.26653343325007284,0.02770972086404231,10
1,0.11474835001966865,0.299850112406332,0.013266158405806212,10
2,0.1778672746404769,0.35648846697197245,0.003236498383510118,10
3,0.2687892474986285,0.3931368140438575,0.0011661886050660726,10
4,0.1922525429673798,0.3698151386344761,0.002255087523581437,10
5,0.16765156085583974,0.2865234407438283,0.017958407665080854,10
6,0.1152380918975796,0.27174669275399765,0.02490712334629495,10
7,0.0619612416695895,0.31650845198446154,0.008945528243148048,10
8,0.1440745970694498,0.3731468065501021,0.0020566984286100013,10
9,0.19568446159242348,0.3631518028032243,0.002705394892807213,10
0,0.2976382115700642,0.4288961831429056,0.0005268845443923519,11
1,0.3132152874330929,0.4151163860941375,0.0007927248938591751,11
2,0.22269121299080288,0.2704285170820729,0.028827858581450337,11
3,0.2678206324489009,0.3599971978990653,0.0036165714104873397,11
4,0.3195242325581397,0.4392310309294816,0.00038488364355894483,11
5,0.2838731700306778,0.4392310309294816,0.00038488364355894483,11
6,0.3517355159553287,0.40822648756975344,0.000968114891938417,11
7,0.268931886018133,0.39100174125879344,0.0015754858422470561,11
8,0.3341232882967802,0.4047815383075614,0.001068698415258988,11
9,0.24970155928057625,0.3806668934722173,0.0020918470786083533,11
0,1.0,,,12
1,1.0,,,12
2,1.0,,,12
3,1.0,,,12
4,1.0,,,12
5,1.0,,,12
6,1.0,,,12
7,1.0,,,12
8,1.0,,,12
9,1.0,,,12
0,0.1569378485381585,0.3305957706615102,0.009479489526131823,13
1,0.1049585269765002,0.2708270437622541,0.0335665191910065,13
2,0.2225233302826124,0.491224224203261,0.00011584925758902713,13
3,0.0966438178027581,0.3903644975607663,0.0021892641249847654,13
4,-0.001929806825675229,0.3716867704047488,0.0035374463184234908,13
5,0.04383880020030273,0.2708270437622541,0.0335665191910065,13
6,0.02885357948717981,0.27147418218491504,0.033514083216383384,13
7,0.23155942103753116,0.4576043153224294,0.00032950742351102317,13
8,0.018458564102564082,0.2297360440190156,0.07142111753213995,13
9,0.05931359999999996,0.3476817726028531,0.006403273543963008,13
0,-0.11536750210155455,-0.21653278478430668,0.12327125185597858,14
1,-0.0673568326864824,-0.22276458459633106,0.11212020371094106,14
2,-0.07653281082984043,-0.21653278478430668,0.12327125185597858,14
3,-0.07806476403163876,-0.21653278478430668,0.12327125185597858,14
4,-0.07813422099510259,-0.21653278478430668,0.12327125185597858,14
5,-0.09030609347126917,-0.21653278478430668,0.12327125185597858,14
6,-0.09190184788713407,-0.21653278478430668,0.12327125185597858,14
7,-0.07276448880417252,-0.21653278478430668,0.12327125185597858,14
8,-0.10958311089600348,-0.22276458459633106,0.11212020371094106,14
9,-0.1041278590551693,-0.22276458459633106,0.11212020371094106,14
0,0.28923741181775897,0.4779880837836287,0.00012822323011988794,15
1,0.34923436045233924,0.4322980463631347,0.0005326850819952682,15
2,0.27370930249209346,0.5131342664147778,3.9317720106992e-05,15
3,0.4094497363242027,0.5658535403615016,5.791477311460178e-06,15
4,0.3705128276921543,0.506105029888548,5.0106093029741386e-05,15
5,0.306843606161516,0.5517950673090419,9.814526163704725e-06,15
6,0.3301070427030822,0.4533857559418242,0.0002804470874502348,15
7,0.27690170229487265,0.463929610731169,0.0002014398375245307,15
8,0.3344255689195897,0.5342219759934673,1.8654374377255208e-05,15
9,0.26231108225358346,0.4709588472573989,0.00016095695022997098,15
0,0.4426078990228012,0.4341103613634558,0.0004016722915513395,16
1,0.4203799207851002,0.5087230797227998,3.3649953628360275e-05,16
2,0.5179559594486566,0.43750184856160784,0.000361600189225966,16
3,0.4551448055332249,0.4680252333449759,0.00013592636928008467,16
4,0.423670276872964,0.4585792539482773,0.00018910298793642531,16
5,0.4694004885993486,0.44428482295791183,0.00029241604920549427,16
6,0.4068218744563161,0.4103699509763919,0.000821507949469521,16
7,0.4479746742671008,0.4480320323497801,0.00026236139362431545,16
8,0.5383156994755032,0.5663783620913838,3.888280012888235e-06,16
9,0.4063373736205631,0.4612422589486719,0.00016979858250501184,16
0,-0.035662206916764035,0.04883377600447589,0.7152489203387329,17
1,0.04610089390386885,0.15850686662574626,0.2373512154824136,17
2,0.11503714830011726,0.12567250525842152,0.3481602374359982,17
3,0.0018169109026965331,0.05589897006223068,0.6766654735168651,17
4,-0.033039756740914195,-0.06516352124510745,0.6266443871219606,17
5,0.0419498681125442,0.1608378499584778,0.2305537079612363,17
6,0.056206638335287266,0.06743711924427623,0.6144066865308939,17
7,-0.0164509525205152,0.023272686158966948,0.8620744862572425,17
8,0.006025722844276715,0.06506000486323554,0.626692948348215,17
9,-0.006471028722156769,0.013963611695380171,0.9169785561847672,17
0,0.2045204627044278,0.2116076755735089,0.09054789418995378,18
1,0.1910876745113682,0.2535794459351966,0.04253779916566097,18
2,0.15616629626792855,0.19411943792280567,0.12050978961777654,18
3,0.06603448797792323,0.17663120027210247,0.15772626172797133,18
4,0.13139413641802955,0.1801288478022431,0.14965939648532653,18
5,0.18543954813144947,0.3270300440681501,0.00890436030619113,18
6,0.20860784487331266,0.07170177436788318,0.566308439102925,18
7,0.044775881727773685,0.25707709346533725,0.0397636804684521,18
8,0.12395315024868235,0.19761708545294634,0.11396659030912525,18
9,0.17771961598174235,0.3445182817188533,0.005858787763819582,18
0,1.0,,,19
1,1.0,,,19
2,1.0,,,19
3,1.0,,,19
4,1.0,,,19
5,1.0,,,19
6,1.0,,,19
7,1.0,,,19
8,1.0,,,19
9,1.0,,,19
