,$R^2$,$\kappa$,$P-value$,OTU
0,0.4164174490533743,0.4697170225113594,6.895069175373421e-08,0
1,0.4283226027708911,0.4813541559519561,3.2479588916555365e-08,0
2,0.4897424644287608,0.5046284228331497,6.841042389557879e-09,0
3,0.42641897307666776,0.4845279196175734,2.637180697960504e-08,0
4,0.4565904972656428,0.4887596045050632,1.9936069228231128e-08,0
5,0.4653114706835133,0.4961650530581702,1.21510118319545e-08,0
6,0.4811285757438901,0.544829429264302,3.9391589998701363e-10,0
7,0.4611556917530132,0.5236710048268534,1.816138372701151e-09,0
8,0.4683759217406478,0.5194393199393637,2.4484635707663204e-09,0
9,0.4378779201834071,0.4802962347300838,3.4805088764661165e-08,0
0,0.4917149148012186,0.3903729308709271,7.3685492679469455e-06,1
1,0.27508537040990866,0.245437723474404,0.00482597427316814,1
2,0.5306582301353968,0.41364719775212055,2.033969532335757e-06,1
3,0.4675082708771445,0.3258397363367088,0.00018277715504493722,1
4,0.3040059926427272,0.3565194517710093,4.239821486934871e-05,1
5,0.4119208794925895,0.2496694083618937,0.004143574924945644,1
6,0.4645535588695431,0.3819095610959477,1.1568353718251981e-05,1
7,0.3080374089645305,0.3099709180086223,0.00037159324090819485,1
8,0.3751695344906063,0.3089129967867499,0.00038915799063463596,1
9,0.3137504460331594,0.3618090578803714,3.256454107173758e-05,1
0,0.1701620367840131,0.3204453197954211,0.00023763869132522594,2
1,0.23205891579129945,0.3712928416141986,2.0589280896674697e-05,2
2,0.22733731669738466,0.3331572002501154,0.0001329006630626354,2
3,0.2455522918193499,0.4136657764631799,2.091427888780017e-06,2
4,0.2352263902160453,0.3405724638486872,9.381053131694283e-05,2
5,0.3405150457330756,0.4316742737739969,7.386169219579555e-07,2
6,0.17286018875143505,0.3755301350990967,1.654830680482796e-05,2
7,0.2114473778198852,0.3935386324099138,6.3753706501490406e-06,2
8,0.22439170049322174,0.3850640454401175,1.0038321924071208e-05,2
9,0.231667788520323,0.3490470508184834,6.247478012236478e-05,2
0,-0.07098410496968642,0.2506025790028507,0.008151873985859079,3
1,0.04666491115154858,0.2382576243721684,0.011890309242791722,3
2,0.07095675835278781,0.2493680835397825,0.008471392464746638,3
3,0.018260087503780498,0.2752924882642153,0.003656425781866467,3
4,0.018667834795436652,0.1888778058494392,0.04614547605586475,3
5,0.02252287009427512,0.16295340112500634,0.08536599453645223,3
6,-0.002460145134054681,0.020986422872159908,0.8246546765511186,3
7,0.017983225327803276,0.16048441019886991,0.0902083824626491,3
8,-0.009660754509231095,0.2382576243721684,0.011890309242791722,3
9,0.0028246855983783408,0.2839339565056929,0.002721084648564289,3
0,0.31528247857626895,0.3160404100642844,0.0002872950135173771,4
1,0.3341012555439983,0.36262593114578695,3.1678344876983834e-05,4
2,0.3463012855286792,0.3732135495734011,1.847688509333645e-05,4
3,0.2555756357605785,0.28004250741039605,0.001311614144992068,4
4,0.37253060214122413,0.3912125009003453,7.153220603052213e-06,4
5,0.35334611118219705,0.4187403088121423,1.5478766336969231e-06,4
6,0.30610792993390645,0.33509812323399,0.00012046520012181535,4
7,0.2745305112524542,0.2715724126683047,0.001831769127714245,4
8,0.3567054059024707,0.3848599298437768,1.0045889001385722e-05,4
9,0.27314028984811856,0.29063012583801023,0.0008532486628478228,4
0,0.4572275725099469,0.5195981135856331,2.5315461491247792e-09,5
1,0.4106520240432051,0.4708692385093046,6.644692376007533e-08,5
2,0.3808708161703941,0.4528607411984876,2.058466711492813e-07,5
3,0.4504984302707754,0.5174794668431839,2.936523893220893e-09,5
4,0.39019685224124623,0.497352322789918,1.168466145392608e-08,5
5,0.42595795534995584,0.4952336760474689,1.3472227407569653e-08,5
6,0.3285165567690955,0.4126064530919553,2.219990397201267e-06,5
7,0.3656026076013251,0.4507420944560385,2.344959147420022e-07,5
8,0.387509600849296,0.4920557059337953,1.666119687852782e-08,5
9,0.3575859088882122,0.4507420944560385,2.344959147420022e-07,5
0,0.3004261409849962,0.4506744405176557,2.276509377480873e-07,6
1,0.3044501438333951,0.4739487073988492,5.2544546568766265e-08,6
2,0.2633897014106393,0.4855858408394459,2.4595651526815482e-08,6
3,0.3911165632376561,0.4972229742800426,1.131474274823888e-08,6
4,0.1817618916222663,0.392488773314672,6.573458175341459e-06,6
5,0.3107298382392799,0.4919333681706805,1.6138360391330136e-08,6
6,0.28265836386972043,0.4665432588457421,8.440986878975314e-08,6
7,0.2654960853040233,0.4559640466270178,1.6413386490630518e-07,6
8,0.3487372552820991,0.4707749437332319,6.443610396949121e-08,6
9,0.3173470842720927,0.4866437620613183,2.293582804872108e-08,6
0,0.2267355796248185,0.279439093081151,0.0013399059767652927,7
1,0.2523021991114446,0.3196613867822258,0.00024355017876007002,7
2,0.24960154895670686,0.3101350540635501,0.00037140746195795955,7
3,0.19271408604766505,0.24768465068556564,0.004471524969320725,7
4,0.3509178964494314,0.3514158291778111,5.4972415689251834e-05,7
5,0.2712188007105953,0.3016672027580607,0.0005353445418298786,7
6,0.245688765802478,0.3069596098239916,0.00042642995133711854,7
7,0.32755501320099106,0.3418894964591355,8.70639713873203e-05,7
8,0.3119707973842185,0.3323631637404599,0.00013632943680169375,7
9,0.3603582021540995,0.3979890113580029,4.924885653835419e-06,7
0,0.2515645177753293,0.4377980219818479,5.070220201025753e-07,8
1,0.1776165043391973,0.3403919324477971,9.386647383005401e-05,8
2,0.2302838390213425,0.41450526144109656,1.971177382193349e-06,8
3,0.2976831020700378,0.4536794496232692,1.9308746474640922e-07,8
4,0.2136198098341323,0.4685021154219292,7.617609247837639e-08,8
5,0.1690027441870776,0.40497640485624375,3.367719094936385e-06,8
6,0.2071628813655838,0.4462681167239393,3.0419569109970824e-07,8
7,0.2373328895493708,0.4494444022522235,2.5056832961244005e-07,8
8,0.13388650381168588,0.395447548271391,5.687811328365899e-06,8
9,0.2264614633255703,0.43144545092527936,7.393106957796756e-07,8
0,0.3716083646837304,0.5125765677456724,4.0963846943948895e-09,9
1,0.2672009451547127,0.3981999782487042,4.920927672788172e-06,9
2,0.23124328386415585,0.3780781708372005,1.4424731460006793e-05,9
3,0.2902061421340523,0.3749010433511736,1.7014680620513027e-05,9
4,0.2368074128460418,0.3166537061073472,0.00028054064930078796,9
5,0.35799413310939576,0.5231669926990954,1.952064179874323e-09,9
6,0.2770622097859927,0.3431297684909047,8.272405790345532e-05,9
7,0.4554869279537042,0.5401116726245723,5.786651613616063e-10,9
8,0.15850541676613605,0.2954728562005013,0.0006998183447388744,9
9,0.3483399061331013,0.4426797630530808,3.806250684975275e-07,9
0,0.03663446853168762,0.2592323902633871,0.003024587972173328,10
1,-0.013603049407233671,0.14767746822381478,0.09117963691770258,10
2,-0.030419097317103905,0.13705318993433172,0.1169553757926622,10
3,-0.003197258728318664,0.2602948180923354,0.0029072300040442344,10
4,0.014874160309053197,0.18698729789490212,0.03244758399619442,10
5,0.00982394648614926,0.23585897802652436,0.006978442123060085,10
6,0.003113346222996416,0.2039861431580751,0.01963271659835377,10
7,0.00045965956577509465,0.20079885967123015,0.02162810721006629,10
8,0.020953770400980683,0.2879179416449914,0.0009900208225870242,10
