,$R^2$,$\kappa$,$P-value$,OTU
0,0.41214579681943,0.4855858408394459,2.4595651526815482e-08,0
1,0.4014589756064017,0.4728907861769767,5.6250163750422586e-08,0
2,0.44938044482964395,0.5014546591675323,8.494726295729033e-09,0
3,0.4170462345971745,0.4919333681706805,1.6138360391330136e-08,0
4,0.4154437994892373,0.4771224710644664,4.279229059947288e-08,0
5,0.4469300305924444,0.4781803922863388,3.995031832509911e-08,0
6,0.5314943045188479,0.5501190353736642,2.6641098020010873e-10,0
7,0.4281939508275256,0.4855858408394459,2.4595651526815482e-08,0
8,0.5016765552118494,0.5437715080424296,4.2578050524012617e-10,0
9,0.4198371779180776,0.4390373070770589,4.61701625837021e-07,0
0,0.3391934373270485,0.21898969292759324,0.011912821962362144,1
1,0.3751228648180575,0.3427664758866677,8.282419897969278e-05,1
2,0.4307931272288452,0.30679715434300503,0.00042663916001637236,1
3,0.4178017288607362,0.41364719775212055,2.033969532335757e-06,1
4,0.3930408562699699,0.4178788826396103,1.5976805569029341e-06,1
5,0.23953919610833496,0.2285109839244451,0.008689058506396145,1
6,0.25748462399701066,0.2771753601305769,0.0014581925748213926,1
7,0.33232215099881396,0.2179317717057208,0.012329598607763202,1
8,0.26607222402609965,0.2750595176868321,0.0015853935687673356,1
9,0.3316415386066198,0.23062682636819,0.008088609121761969,1
0,0.1892239517011364,0.350106374189708,5.9341906498246604e-05,2
1,0.2062450093996051,0.3723521649854231,1.949895745305421e-05,2
2,0.27661428738242844,0.4348522438876705,6.120576585040461e-07,2
3,0.3628096420096302,0.4528607411984876,2.0591736471437205e-07,2
4,0.28098033231051744,0.4083691596070573,2.8183101760429e-06,2
5,0.2819131118920205,0.4645132982819575,9.954121438724463e-08,2
6,0.27963558191877513,0.3861233688113421,9.48925625164832e-06,2
7,0.2868683119910286,0.4539200645697121,1.9288778432749304e-07,2
8,0.18689223350350648,0.3087927627119512,0.000397735670257288,2
9,0.31795484425663,0.26536050449174536,0.0023388086407469893,2
0,-0.04376702552039369,0.07036624139488913,0.4575512034409305,3
1,0.06132526199046106,0.2975134065994434,0.001683889112586349,3
2,0.027351699556912638,0.13702899640057353,0.1479890552249692,3
3,-0.01943369278214413,0.20986422872159916,0.026717370411990328,3
4,0.018289888548213784,0.13456000547443708,0.15543163021142914,3
5,0.033597327060800534,0.23702312890910016,0.012337187333508087,3
6,0.04627127091084049,0.23208514705682726,0.014276984133243232,3
7,-0.0021041612740106963,0.15801541927273344,0.09526940897636946,3
8,-0.007176501153973725,0.12591853723295945,0.18372478719149601,3
9,-0.018681680082583085,0.12098055538068656,0.2015171148437218,3
0,0.25193360452613833,0.24827965212755335,0.004386314111131469,4
1,0.3844022874433769,0.4039176430134824,3.571680520746385e-06,4
2,0.3595671028373495,0.38803621537206107,8.482464827661392e-06,4
3,0.4022777269873852,0.475913448321259,4.7345337986381973e-08,4
4,0.35175242991934386,0.36262593114578695,3.1678344876983834e-05,4
5,0.3045907238292942,0.3827424061582539,1.1237202456047093e-05,4
6,0.3344146240208806,0.3996825956424368,4.512346065619075e-06,4
7,0.27461629840846224,0.2726311745110661,0.001757709944434032,4
8,0.3116669847067114,0.3763898351016854,1.567442769908479e-05,4
