,$R^2$,$\kappa$,$P-value$,OTU
0,0.3676089537392808,0.3479370795396345,0.0004224548647794669,0
1,0.2888850467245827,0.3394300604799857,0.0005829143000987031,0
2,0.3036568748093166,0.34623567572770475,0.0004508048823673131,0
3,0.24141042473808996,0.31050619567718,0.0016531815129466301,0
4,0.3234184709349137,0.3479370795396345,0.0004224548647794669,0
5,0.2426307221120072,0.31050619567718,0.0016531815129466301,0
6,0.3129506603115628,0.3700553290947213,0.00017699839902864058,0
7,0.29523615111913704,0.31050619567718,0.0016531815129466301,0
8,0.3469844659557887,0.296894965181742,0.002625975026825211,0
9,0.3136448639898192,0.3394300604799857,0.0005829143000987031,0
0,0.3404636571466698,0.4714895324543658,1.7904425643176281e-06,1
1,0.3451503677626477,0.4902129434904597,6.856164841764614e-07,1
2,0.3378472968997006,0.4731916607303744,1.6431814637735403e-06,1
3,0.31825225831935944,0.4476597365902462,5.777555429261952e-06,1
4,0.33519096513374513,0.456170377970289,3.826776127295016e-06,1
5,0.2697625685308569,0.42212781245011816,1.9048963760198557e-05,1
6,0.3730031260554999,0.5106384828025623,2.3124768508210677e-07,1
7,0.38989130605735545,0.497021456594494,4.794528013328597e-07,1
8,0.32608841060016835,0.456170377970289,3.826776127295016e-06,1
9,0.36415517585764656,0.4800001738344085,1.1623585210521491e-06,1
0,0.05990609011748184,0.39795631675469,6.252439537934825e-05,2
1,0.14096760426981558,0.5145986854586508,2.262197787984426e-07,2
2,0.1498052120816461,0.5351826328769969,7.307314813610193e-08,2
3,0.27354031296772696,0.5986498040835638,1.7241595477872394e-09,2
4,0.15377149039062174,0.5197446723132374,1.7121054743883825e-07,2
5,0.07940994180024019,0.4202555931245648,2.364223771857581e-05,2
6,0.11073072361999192,0.5094526986040643,2.9812806044091314e-07,2
7,0.010691513065763436,0.2624453295839119,0.008291602568385192,2
8,0.3095647869879469,0.5694892119075736,1.0129940523384088e-08,2
9,0.2255789550931775,0.482007435379603,1.2436568785146243e-06,2
0,0.4344742169611036,0.4395045704427637,9.974079673870875e-06,3
1,0.5439594504476348,0.4927258270198171,7.319279065899654e-07,3
2,0.4085429886344564,0.4360709409861796,1.1693736530052686e-05,3
3,0.4370336939232634,0.4772744944651887,1.6075153327801002e-06,3
4,0.490935651308467,0.448088644084224,6.66804117633793e-06,3
5,0.523143454746935,0.4103187200617989,3.717518703272663e-05,3
6,0.32040843291109006,0.3983010169637546,6.23932107251834e-05,3
7,0.4192823133316909,0.42748686734471936,1.7317427109948168e-05,3
8,0.4051619056315062,0.4532390882691001,5.218935925592793e-06,3
9,0.34303889196669224,0.38113286968083415,0.00012762132469521743,3
0,0.2275480325048751,0.17810010590242112,0.0715642289816794,4
1,0.1703335079197401,0.2667240820452527,0.0069650678922917935,4
2,0.1829106669199393,0.15253549739968125,0.12277322084313408,4
3,0.18028914688954206,0.21389055780625696,0.030465828062117273,4
4,0.39132902554810656,0.24456808800954485,0.013347793544972496,4
5,0.21958778405363044,0.2650197748117367,0.0073343978138018535,4
6,0.12633891222693616,0.1644656480342932,0.09612494461728896,4
7,0.16232686694100296,0.1423096539985853,0.1499296484491221,4
8,0.17091266870555274,0.2496810097100928,0.01153428527570515,4
9,0.2080788613320572,0.2275250156743849,0.021339473791893042,4
0,0.31343449264798684,0.4446343760389046,6.788222180311276e-06,5
1,0.3111546696193841,0.4872238756594893,8.169303733954866e-07,5
2,0.2930957937506905,0.437820056099611,9.368663928854893e-06,5
3,0.2616151159834253,0.3713804366914989,0.0001707255190398943,5
4,0.24384761679776976,0.3781947566307924,0.00012930642734691514,5
5,0.2847251096147084,0.3833054965852626,0.00010467030120341194,5
6,0.36111000339822696,0.4667809158416086,2.308275447116941e-06,5
7,0.2935815422325888,0.4173770962817304,2.3963434201408715e-05,5
8,0.29843613279976955,0.4327093161451409,1.189370050251969e-05,5
9,0.2829611556989746,0.41567351629690696,2.586629829821795e-05,5
0,0.5645609970759713,0.5519599150827781,2.3171331057537306e-08,6
1,0.3640394102772329,0.4701880758112554,1.946928131580317e-06,6
2,0.3987641479798361,0.4923346156139595,6.260416855176757e-07,6
3,0.3703082900961667,0.454855855947845,4.150973523176681e-06,6
4,0.4147850095159201,0.5195918953711337,1.4493444669050994e-07,6
5,0.3167583030870068,0.4258949962058473,1.6284281750166714e-05,6
6,0.3404119137523295,0.4344128961299642,1.0987388382683483e-05,6
7,0.28395269509737553,0.4122663563272602,3.0111621875855858e-05,6
8,0.3394813021764862,0.4633737558719618,2.733552524320501e-06,6
9,0.3309859107823453,0.4224878362362005,1.902180791384456e-05,6
0,0.34622366176040165,0.4303375764627879,1.3378204099573715e-05,7
1,0.2422547012579338,0.3962514317924681,6.0984603727564575e-05,7
2,0.20579956341174388,0.3740954377567602,0.00015382548260312206,7
3,0.10900006201043456,0.2701326965122847,0.006276117300436492,7
4,0.26709662755372165,0.3809126666908242,0.0001163069612586812,7
5,0.14613379261758308,0.3161489918172165,0.0013811904836541614,7
6,0.3053695230378215,0.3843212811578561,0.00010096204070969534,7
7,0.1523956820781318,0.29740161224854056,0.002622112994502573,7
8,0.13434199649644762,0.2735413109793167,0.005649127985936122,7
9,0.421758179058358,0.4797624862347517,1.2107564970264695e-06,7
0,0.21767442209082866,0.40853060479305225,3.626405777168317e-05,8
1,0.09178334028695367,0.2771867360286889,0.005074834655260454,8
2,0.182580033450482,0.30789049755802056,0.0018541744713007273,8
3,0.17231399530728375,0.3761210787343133,0.00014328337616663047,8
4,0.1977546149938033,0.3795326077931279,0.00012458712301343866,8
5,0.1368546464072925,0.3113020266168353,0.0016487797835096829,8
6,0.2570323227863057,0.4034133112048303,4.5357621881425065e-05,8
7,0.060950957311027835,0.3113020266168353,0.0016487797835096829,8
8,0.1375880270329619,0.369298020616684,0.00018887295738549332,8
9,0.17476097853803074,0.3420057881461669,0.0005451333524736171,8
0,0.2524790791102349,0.2937422574392765,0.002937776980692812,9
1,0.2470647577433519,0.22222240345406136,0.02444717625280568,9
2,0.22974272838733625,0.3329078917645134,0.0007496891290706162,9
3,0.12329042530762267,0.14048542747095835,0.15490104970669993,9
4,0.25336129425231424,0.28182228177507396,0.004324275718326444,9
5,0.19826638938339106,0.2154109887888028,0.029178868151997186,9
6,0.32298933440834554,0.3703706724234356,0.00017680181814178238,9
7,0.19678550131156614,0.26990230611087146,0.006279988808742419,9
8,0.1661073700184572,0.21711384245511745,0.02792751432248086,9
9,0.1935924087672145,0.23073667178563464,0.0194789536838684,9
0,0.13795699692632213,0.2971479647719058,0.0026240435764024878,10
1,0.08160772627937808,0.2017881594582856,0.041039694102754265,10
2,0.05862177232963527,0.1847596227951392,0.06138489606541245,10
3,0.1022591921007734,0.2273309644530053,0.021349125321551497,10
4,0.19513310707902365,0.33120503809819873,0.0007979935133512429,10
5,0.09891173670363662,0.20008530579197092,0.04277634913600864,10
6,0.1009233163954587,0.22903381811932,0.02039534861521077,10
7,0.05861408062721862,0.15921681780041946,0.1069425886341888,10
8,0.04019779265680845,0.1472968421362169,0.13585708984425166,10
9,0.15063126809819272,0.2494680621150957,0.0115404507444141,10
0,0.36962327184550414,0.44963266480673103,9.431315036884282e-06,11
1,0.410297795919944,0.4267102152283486,2.622585842939979e-05,11
2,0.30678448410753056,0.3879183774803169,0.00013247962744361648,11
3,0.3258207384536641,0.3984979695934164,8.635804074634501e-05,11
4,0.4324367153293819,0.4778449104416632,2.5044618076163685e-06,11
5,0.38032081348631896,0.4143673577630658,4.457678534026358e-05,11
6,0.3517142693873753,0.3456000090279187,0.000661934165815287,11
7,0.4331882904219171,0.4196571538196156,3.557348704897928e-05,11
8,0.3702350759000024,0.3984979695934164,8.635804074634501e-05,11
9,0.3220456179458455,0.36852245860630106,0.0002826397393539147,11
0,0.18993700909266087,0.3001328956176736,0.0024672870122799174,12
1,0.22432661497530185,0.3685392535932117,0.00020135264773280646,12
2,0.2153123452547272,0.3343360746054426,0.0007453804290165702,12
3,0.19432986035729335,0.2898719419213429,0.0034575739915176603,12
4,0.2551498535331068,0.38393068413770776,0.00010769781101055179,12
5,0.1966798248845657,0.32065480301033505,0.0012193217440370342,12
6,0.1990346771172542,0.2915821008707313,0.003270740425581991,12
7,0.19859159604287413,0.2898719419213429,0.0034575739915176603,12
8,0.19950872549182785,0.3257852798585004,0.001015955794916586,12
9,0.20860801308648505,0.3138141672127812,0.0015491114597037095,12
0,0.11172235459910997,0.300858656944576,0.002400488903950523,13
1,0.1125708925350638,0.3589790793088691,0.00029229367292612986,13
2,0.08971306833342163,0.29060211182146545,0.003366520746803998,13
3,0.1447235569838744,0.1299162382260669,0.1899145290894566,13
4,0.040665711683283264,0.15897644940821345,0.10870426173327792,13
5,0.028218586944065205,0.1948743573391004,0.049269970466755714,13
6,0.09581147684306636,0.2615419006393189,0.008317261995089125,13
7,0.12916265605403288,0.3812015937422753,0.00011993593863644649,13
8,0.08319428720540434,0.2615419006393189,0.008317261995089125,13
9,0.11071396299500767,0.29060211182146545,0.003366520746803998,13
0,0.29304090841641073,0.3049408172833866,0.002026234671917678,14
1,0.3665077490677184,0.3475303169039714,0.0004357708228665791,14
2,0.3069731155046648,0.2657584776324487,0.007149732965387934,14
3,0.3459280940900545,0.3645661167522053,0.0002243969154452805,14
4,0.4248166131495649,0.27768353752621244,0.004946703701280488,14
5,0.3818158834026389,0.3236801971164439,0.0010527947196835995,14
6,0.32339986712481283,0.27768353752621244,0.004946703701280488,14
7,0.3824822334082829,0.3441231569343246,0.0004959558339672968,14
8,0.2833827688159869,0.2708692175869189,0.006115654229104946,14
9,0.2667529582388639,0.31516229719232697,0.001423647759604316,14
0,1.9836819775687078e-07,0.07818103330998401,0.4466314311031525,15
1,0.037497350475761186,0.1752333505223779,0.08804795703336762,15
2,0.10331633836712406,0.1824224110566293,0.0757713592213732,15
3,0.033820533593501456,0.1608552294538751,0.11738983960652835,15
4,0.09974733735463236,0.2722856677347718,0.008036587630691313,15
5,0.033583955972410595,0.13389625245043235,0.1924398238243601,15
6,0.04917059362605203,0.15186890378606085,0.1393147246047107,15
7,0.11125986099481043,0.3046364401389031,0.003022472433521185,15
8,0.06106394125680181,0.1752333505223779,0.08804795703336762,15
9,-0.015171759220845129,0.04583026090585268,0.6555043481513856,15
0,0.14635695245188118,0.35234773294483485,0.00039118643318759123,16
1,0.1532506430256626,0.3849248956015349,0.00010714709658043116,16
2,0.09207363760337904,0.2734767075654558,0.005919334032522578,16
3,0.12592487592494728,0.3369164453706085,0.0006972405027766603,16
4,0.11384566022272845,0.29919552018916634,0.002603495466197061,16
5,0.1918222815097508,0.376351958060298,0.0001521502958101977,16
6,0.07100797148407112,0.2529016574664873,0.010922975414678095,16
7,0.10790869094319601,0.2717621200572084,0.0062387590272573725,16
8,0.11437665251035956,0.2717621200572084,0.0062387590272573725,16
9,0.15556262810941726,0.343774795403598,0.0005408115700307486,16
0,0.4115254496009134,0.4635117422434126,2.835789907350387e-06,17
1,0.480986815170379,0.44814671211379664,5.97839550968209e-06,17
2,0.46646443419019396,0.4771695468030711,1.433145302844511e-06,17
3,0.5116751252320897,0.5061923814923456,3.1620036170947323e-07,17
4,0.5122405257941209,0.5488730207412786,2.9448679790137183e-08,17
5,0.5083532141079281,0.4379033586940528,9.703632736381844e-06,17
6,0.4961062635243203,0.4361961331240954,1.0508927008173804e-05,17
7,0.4794492571221906,0.482291223512943,1.104306598112133e-06,17
8,0.4800876491959836,0.4259527797043515,1.6853879409459014e-05,17
9,0.4298638034888643,0.3713215614657172,0.00017608240316708518,17
0,0.34528132129848343,0.33975881715686546,0.0006169113471078902,18
1,0.352377442888259,0.2815633522534225,0.004545724758617599,18
2,0.4004123678923156,0.341470448477555,0.0005788879254859389,18
3,0.3335955694377685,0.2986796654603175,0.002611831223255073,18
4,0.3697016143379429,0.3688565496085869,0.00020135264773280646,18
5,0.28323175870242145,0.34660534243962343,0.0004775065704436557,18
6,0.35703165381030144,0.31750760998790195,0.0013751251946191852,18
7,0.3558209787534945,0.34318207979824444,0.0005430559003444255,18
8,0.3714525319219132,0.3996659133809979,5.6299242277990636e-05,18
9,0.3541429421078902,0.2935447714982489,0.003093148789845606,18
0,0.025421883135160583,0.07167277238512447,0.4688929438971611,19
1,-0.08206348976105482,-0.0870312236105083,0.3791385493526928,19
2,-0.09346448315413892,-0.19624687676879324,0.047350490028005315,19
3,0.07190886712817035,0.12969358812546336,0.1899913894821409,19
4,-0.06157953535564276,-0.1484650285120436,0.13353739467870007,19
5,-0.06415867591003678,-0.056314321159740666,0.5693029995814516,19
6,0.02526054368513597,0.13481307186725794,0.17309093251679564,19
7,0.033904543480569926,0.07167277238512447,0.4688929438971611,19
8,0.14233659291368528,0.2542676925091321,0.010185280588956241,19
9,-0.005665951735756014,0.0733792669657227,0.4583744045927116,19
