,$R^2$,$\kappa$,$P-value$,OTU
0,0.3267093308927026,0.31901321473682875,0.0012268704131941516,0
1,0.33046405397490963,0.296894965181742,0.002625975026825211,0
2,0.2914913550509054,0.3496384833515643,0.000395776685940771,0
3,0.19016533139866146,0.206720563149465,0.03619785914572087,0
4,0.30201246103849944,0.2883879461220932,0.003475316449058245,0
5,0.3098715276479468,0.3479370795396345,0.0004224548647794669,0
6,0.2527868465490913,0.30880479186525017,0.0017533273955563696,0
7,0.3036326493163439,0.28498513849823365,0.0038800541326081774,0
8,0.30226892265672656,0.3258188299845477,0.0009616258844150848,0
9,0.2487021707945979,0.2832837346863039,0.004098077854897957,0
0,0.34336193356190026,0.4646810193503316,2.5166029708199984e-06,1
1,0.3680712008039839,0.497021456594494,4.794528013328597e-07,1
2,0.452830005205114,0.5548938179787843,1.9035002285233285e-08,1
3,0.27574488394583185,0.44595760831423775,6.2683578493643486e-06,1
4,0.2636190174640217,0.4391490952102036,8.660672038322391e-06,1
5,0.3102940778068132,0.4544682496942804,4.157801350150631e-06,1
6,0.4224513111046878,0.5531916897027758,2.1029725848658905e-08,1
7,0.3110386440865983,0.44595760831423775,6.2683578493643486e-06,1
8,0.5021458147590194,0.5565959462547929,1.7224500140715456e-08,1
9,0.37827526900365216,0.5174469959065965,1.5949290846884795e-07,1
0,0.07965007097580024,0.3945256588516323,7.230642817077655e-05,2
1,0.09674612305970852,0.428832237882209,1.6057476991347227e-05,2
2,0.17621030589838393,0.4974453959433625,5.619821107100393e-07,2
3,0.05622951414673138,0.3756570403848151,0.00015760805209204918,2
4,-0.1096788919584566,0.35850375086952674,0.00031069133838840094,2
5,0.06348849530113533,0.428832237882209,1.6057476991347227e-05,2
6,0.2411363761566545,0.5574819092468717,2.0496632656905447e-08,2
7,0.05533022268824261,0.428832237882209,1.6057476991347227e-05,2
8,-0.035978782825141,0.2847446059537868,0.004179723851402058,2
9,0.13946810021504585,0.5368979618285257,6.638109630737891e-08,2
0,0.4447737875851039,0.4549559029973921,4.806855681557078e-06,3
1,0.41000814609126734,0.4566727177256841,4.426044359713949e-06,3
2,0.4222177470231088,0.4601063471822682,3.7493128832147598e-06,3
3,0.4084886239382166,0.4000178316920467,5.799375738088754e-05,3
4,0.4463847550315593,0.4635399766388523,3.172411364726222e-06,3
5,0.3867755551962176,0.4189027937032592,2.546333009173612e-05,3
6,0.3897171764054922,0.5219116774007818,1.5538647624164992e-07,3
7,0.4495906341934381,0.3725487960393739,0.00018059483543391892,3
8,0.3817596124983289,0.3776992402242501,0.00014675889378022898,3
9,0.4741873829564162,0.4995930859329854,5.121034114702846e-07,3
0,0.08611843792085094,0.1423096539985853,0.1499296484491221,4
1,0.11972829701214195,0.17639579866890515,0.07432013505269798,4
2,0.31522242629541297,0.21729917227328893,0.027915880541843387,4
3,0.11157870803032066,0.2564982386441568,0.0094576445809419,4
4,0.11256770244290236,0.2496810097100928,0.01153428527570515,4
5,0.20941826077607786,0.22411640120735293,0.023363483568113668,4
6,0.37782889036650896,0.2752456182128327,0.005357326805773622,4
7,0.12646789522614188,0.07413736465794565,0.4532155366355026,4
8,0.06327385215890224,0.10992781656178148,0.2660670427857865,4
9,0.20642794941220605,0.15935272633374525,0.10691652101378768,4
0,0.2907906727728661,0.4344128961299642,1.0987388382683483e-05,5
1,0.2617066488095469,0.4139699363120836,2.7912322017756945e-05,5
2,0.3272497078490667,0.4224878362362005,1.902180791384456e-05,5
3,0.3190522720849498,0.4429307960540812,7.360757794548796e-06,5
4,0.23090552636776385,0.40715561637278996,3.7740533273474934e-05,5
5,0.2478860027523979,0.3679732767218521,0.00019584048060801698,5
6,0.40323204479282615,0.4787059757353723,1.2656855327674996e-06,5
7,0.2924576114864753,0.4224878362362005,1.902180791384456e-05,5
8,0.3269983253217641,0.4446343760389046,6.788222180311276e-06,5
9,0.3002393860985981,0.4395236360844344,8.647355273961002e-06,5
0,0.3431815349818338,0.4497451159933747,5.31510532496466e-06,6
1,0.3337704453849029,0.4275985761906707,1.5060570073823398e-05,6
2,0.29124737429584313,0.3747875966611456,0.00014866353089605427,6
3,0.2983130254931171,0.4054520363879666,4.066797643827512e-05,6
4,0.4102627462147001,0.5144811554166635,1.9175838307323762e-07,6
5,0.3005230376194188,0.4344128961299642,1.0987388382683483e-05,6
6,0.3654914769899418,0.4565594359326683,3.820446607402474e-06,6
7,0.3796314601620783,0.4531522759630215,4.508805591152077e-06,6
8,0.40063466314107377,0.5059632554925466,3.040109331884737e-07,6
9,0.42096888110302944,0.4804095557201958,1.160238035119097e-06,6
0,0.221915008807813,0.3962514317924681,6.0984603727564575e-05,7
1,0.3251889269096503,0.4627194138995918,2.8486623129899905e-06,7
2,0.3055133139535933,0.4303375764627879,1.3378204099573715e-05,7
3,0.14590920799997953,0.32637483521831245,0.0009599449634893401,7
4,0.4552653127324096,0.4797624862347517,1.2107564970264695e-06,7
5,0.12799111767446925,0.27183700374580066,0.005955190945582239,7
6,0.3616002227502264,0.4354504981633359,1.0551366606358502e-05,7
7,0.1914072716882126,0.31785329905073245,0.0013008323453859265,7
