,$R^2$,$\kappa$,$P-value$,OTU
0,0.5300841108072614,0.475258154520594,4.9020456336765925e-08,0
1,0.5015367654570129,0.44350371212500855,3.5738010936288476e-07,0
2,0.5697726741883531,0.43821130505907774,4.914577881941509e-07,0
3,0.5466846310100613,0.4921938571315728,1.6118806760292057e-08,0
4,0.5512994405753368,0.4487961191909394,2.589541719132077e-07,0
5,0.5051639907317191,0.4572639704964289,1.5351157243225946e-07,0
6,0.5239580354109543,0.4667903032151045,8.431759560729091e-08,0
7,0.4712945768011539,0.4244510466876574,1.1065149101243296e-06,0
8,0.4977152915060377,0.44350371212500855,3.5738010936288476e-07,0
9,0.4843455248859329,0.4487961191909394,2.589541719132077e-07,0
0,0.24287746943522706,0.4096323069030509,2.5813142155687718e-06,1
1,0.3677372919149492,0.4360943422327053,5.576918967542928e-07,1
2,0.2729593473325096,0.39587204853163055,5.528458929894713e-06,1
3,0.2950116030135341,0.422334083861285,1.2509916938175414e-06,1
4,0.279989169789592,0.3948135671184444,5.856195628766712e-06,1
5,0.3440516767241057,0.4498546006041256,2.4269181882989476e-07,1
6,0.3534185696262001,0.47631663593378,4.577775784980653e-08,1
7,0.326202317505786,0.4710242288678492,6.436442082313935e-08,1
8,0.4266015726435617,0.494310819957945,1.3990389090343368e-08,1
9,0.37765085734849335,0.4604394147359874,1.2588092182873449e-07,1
0,0.06621471570761417,0.22890212861496856,0.009590350623204048,2
1,0.07927290912517826,0.2795298935321616,0.0015606417454978574,2
2,0.1110273855623114,0.32154016654855583,0.0002741739250890583,2
3,0.11687454930115805,0.22459338266456916,0.011037730519169448,2
4,0.08098922318484669,0.3355435908873539,0.0001464482088876336,2
5,0.11201219107079252,0.26768084216856325,0.00245299426877628,2
6,0.04162360676131638,0.2633720962181638,0.002879450363736788,2
7,0.05345730885102185,0.2946105043585595,0.000856630550258528,2
8,0.05795792009110413,0.21813026373897,0.013573173264758605,2
9,0.046787379305556535,0.2558317908049648,0.0037916298085837845,2
