,$R^2$,$\kappa$,$P-value$,OTU
0,0.4912839029345872,0.4509130820173118,2.2741821589316807e-07,0
1,0.4928381218269834,0.4011644555975614,4.136392032715783e-06,0
2,0.5508159672038571,0.4657318218019184,9.017386868643221e-08,0
3,0.4994918076725608,0.427626490927216,9.194903517141147e-07,0
4,0.5061990347043145,0.43821130505907774,4.914577881941509e-07,0
5,0.5347164382164202,0.4540885262568704,1.8696608315312764e-07,0
6,0.5101141089622112,0.4308019351667744,7.630968091721707e-07,0
7,0.504918497223919,0.4498546006041256,2.4269181882989476e-07,0
8,0.49968268517811604,0.4424452307118224,3.810005859310172e-07,0
9,0.4884346242446968,0.4371528236458915,5.235658189174804e-07,0
0,0.3610256778451022,0.4826675244128972,3.026976792516341e-08,1
1,0.3154351994556869,0.4244510466876574,1.1065149101243296e-06,1
2,0.33870737402469075,0.4350358608195192,5.939575066488731e-07,1
3,0.3459341444569276,0.4540885262568704,1.8696608315312764e-07,1
4,0.4406521110474096,0.5281822251799028,1.3421438764837168e-09,1
5,0.3686971889618755,0.4371528236458915,5.235658189174804e-07,1
6,0.3610643904273628,0.4741996731074077,5.248532537633606e-08,1
7,0.406951328043242,0.5080710783293655,5.495066164606198e-09,1
8,0.4230354262418492,0.5123050039821101,4.101758073151135e-09,1
9,0.3750383959870597,0.4805505615865248,3.4764834811331264e-08,1
0,0.09918941867480456,0.3043051827469582,0.0005741900135335751,2
1,0.07634767800168529,0.342006709812953,0.00010876708327949056,2
2,0.06949054079146277,0.29245613138335985,0.0009348350278206401,2
3,0.0910251875416066,0.36570481254014975,3.4985658738832245e-05,2
4,0.12569893125842369,0.2946105043585595,0.000856630550258528,2
5,0.06201686920132365,0.23105650159016825,0.008932186509319108,2
6,0.05669936214027516,0.25475460431736496,0.0039414902849880355,2
7,0.02925533877615638,0.2989192503089589,0.0007180975990708541,2
8,0.009258862573556905,0.1987409069621727,0.02451535706100426,2
9,0.11828126498805648,0.2666036556809634,0.0025538170919530124,2
0,0.23846195978951035,0.4019425403999899,5.823248390635524e-06,3
1,0.3378850307191743,0.4603675664608229,2.0853208833745605e-07,3
2,0.2661488115183551,0.4690231258772428,1.2286911578753905e-07,3
3,0.2360309746511789,0.43331894328451137,1.0262396295793384e-06,3
4,0.23156193112889656,0.41276198967051453,3.244240249042623e-06,3
5,0.2014601388284395,0.4311550534304065,1.1612526729008274e-06,3
6,0.2359153635185707,0.4181717143057769,2.408530610748238e-06,3
7,0.2269887366196891,0.3846314215671506,1.4411925434493133e-05,3
8,0.2641754910890328,0.4279092186492491,1.3962892013332933e-06,3
9,0.2748378363795441,0.4711870157313477,1.0749371420422764e-07,3
0,0.2432603632414113,0.35958784647473235,3.804155227751811e-05,4
1,0.2777638466622772,0.4115636708914341,2.4237139287622927e-06,4
2,0.22080207347159486,0.3373124931532888,0.00011159084918672241,4
3,0.2008052700903723,0.3054905598369408,0.0004663392334500295,4
4,0.3218498419391199,0.3638307709169121,3.07734544500322e-05,4
5,0.2614690773201089,0.40944220867034425,2.730142378708524e-06,4
6,0.2303584884587573,0.35534492203255263,4.6920225033651e-05,4
7,0.19847025055623124,0.33943395537437865,0.0001009898074264645,4
8,0.16167484598430992,0.2948832487314915,0.0007304828345905007,4
9,0.2176456148572301,0.3627700398063672,3.245552788774689e-05,4
0,0.09140661943618587,0.2118084990684597,0.015104787558032953,5
1,0.023756488705936718,0.11755371698299512,0.17747494570652722,5
2,0.015123399079334797,0.11014041951559904,0.2064003670957647,5
3,0.05249756220520552,0.16203350178737164,0.0630497518851945,5
4,0.1120009634787823,0.20969041407777508,0.016147776269123098,5
5,0.08942932247581459,0.19380477664764065,0.026194296360157382,5
6,0.09504160014473416,0.23193030647996335,0.007797996502395716,5
7,0.0195841847038708,0.17262392674079466,0.04766608616892769,5
8,0.036266323574530517,0.2001590316196944,0.02166360740820956,5
9,0.04618427259270752,0.16838775675942547,0.05339207533612947,5
0,0.3552870292926961,0.3461234221118802,7.107167424133209e-05,6
1,0.3495639744187641,0.3059011284108054,0.00044640159006767644,6
2,0.4046958054378742,0.415983195382168,1.801609807275256e-06,6
3,0.3302309302856048,0.32071986819541193,0.0002322323680693742,6
4,0.3809946470717894,0.3789363459206517,1.3658319822379665e-05,6
5,0.3971445310494928,0.40433989983712004,3.4696999717304046e-06,6
6,0.3535901925790328,0.3598836804833005,3.618110295163649e-05,6
7,0.42600056148402543,0.40751534407667855,2.9067425455687717e-06,6
8,0.34968975599031715,0.3609421618964867,3.4316139766480075e-05,6
9,0.28633289548257057,0.2572109834042413,0.0031555208714867697,6
0,0.3351727408919384,0.4433268308574668,3.6846129519687035e-07,7
1,0.2772783724632356,0.3829453986976684,1.1228827018239044e-05,7
2,0.2699545314576376,0.3628182546444023,3.1657049374028085e-05,7
3,0.3050816631954001,0.4147250998344044,1.9694650999143827e-06,7
