,$R^2$,$\kappa$,$P-value$,OTU
0,0.634971237990501,0.14707807665305064,0.049945559910019414,0
1,0.4804729144680122,0.18168468292435666,0.015447776149475229,0
2,0.5682666934624493,0.11654283582542765,0.12032276593080107,0
3,0.5605508812043529,0.16692598319100554,0.02608216301511072,0
4,0.4594103225160788,0.18524712768757934,0.013541852740033757,0
5,0.6399121668435304,0.13231937691969953,0.07778105388511436,0
6,0.5723695790627492,0.15572972822087713,0.03791713977760227,0
7,0.6241325870462198,0.11196254970128422,0.13560248739402553,0
8,0.6043238899068282,0.2045861135450739,0.006391985314091585,0
9,0.7086743319959812,0.15623864890133754,0.03729382674276165,0
0,0.8242803315770966,0.2728434797483896,0.00012568076226283987,1
1,0.8952368716055099,0.2527782518212498,0.0003812142617771615,1
2,0.9150529561682824,0.2824398931048477,7.197882780567166e-05,1
3,0.896547421997506,0.25888506032081404,0.00027413617646515517,1
4,0.879971030130986,0.22398901175187533,0.001643184478252806,1
5,0.8455067108966872,0.25452305424969673,0.00034718632156679623,1
6,0.8725483122887501,0.25016104817857937,0.0004381436965497178,1
7,0.919976542453154,0.2833122943190711,6.836376661623634e-05,1
8,0.8896834052999936,0.2117753947527468,0.002915877938935561,1
9,0.8915665878294013,0.2601936621421493,0.0002552033636974061,1
0,0.8687727665242579,0.12648465327271538,0.07997086942432967,2
1,0.8863125972374597,0.1310019623181695,0.06977235995428588,2
2,0.8425355305328615,0.1499746603090768,0.03789266300284934,2
3,0.8772448156688528,0.11925695879998878,0.0987781425858532,2
4,0.8931198182512078,0.1987615979999813,0.005935132487629545,2
5,0.8919182618718727,0.2362552630772505,0.0010741554067433686,2
6,0.911222813433476,0.23896564850452295,0.0009400992677998908,2
7,0.8402810258686264,0.21954121960907025,0.002373772708709152,2
8,0.876119275030812,0.17030255101362035,0.01840334406603744,2
9,0.8637245668202981,0.2055375615681625,0.00443919675186889,2
0,0.8813154857331782,0.3993348787054523,4.3129298397085615e-08,3
1,0.9167441716294074,0.4011857935546085,3.7354597516885266e-08,3
2,0.8931872893683982,0.3886921183228041,9.737718474618767e-08,3
3,0.8702740678558045,0.3863784747613589,1.1591938237266586e-07,3
4,0.8913183200849635,0.4585641538784511,3.1754496340855864e-10,3
5,0.8942450630300747,0.40072306484231945,3.8723682898222207e-08,3
6,0.8536295728421839,0.4284867875796626,4.167581934711519e-09,3
7,0.8678485301125171,0.422934043032194,6.582794380575915e-09,3
8,0.7764436901128837,0.3947075915825618,6.161025650335614e-08,3
9,0.8941528192294314,0.40072306484231945,3.8723682898222207e-08,3
0,0.951531465025964,0.2819593395111473,7.6678814976192e-05,4
1,0.9307645551674234,0.1601493995203175,0.02469534459256917,4
2,0.8899862559499979,0.21798721275337332,0.002233219761755618,4
3,0.8898616390940833,0.2937898013088177,3.780916967613107e-05,4
4,0.9344129842977894,0.2631182336852275,0.0002239907443089123,4
5,0.9246878008570176,0.21623455174631104,0.0024234147412443533,4
6,0.9460658408568291,0.2429626321040111,0.0006553412385402763,4
7,0.9125477486040008,0.2385809795863553,0.0008193976555796151,4
8,0.913774632902018,0.21097656872512413,0.0030864010379052145,4
9,0.9144298416443476,0.2083475772145307,0.003476500447979782,4
0,0.9193322441135252,0.12938498044330424,0.07801284064578813,5
1,0.9189017979589412,0.08358080853454328,0.2549358825248139,5
2,0.8157968248881039,0.2030494218635797,0.0056799537790911386,5
3,0.915812543480831,0.1501621305874845,0.04082166224464839,5
4,0.90465546003298,0.08783068015494377,0.2315681617044805,5
5,0.91231063141314,0.1175797814977473,0.10925795924802018,5
6,0.878147930798616,0.1397735555153944,0.05693160653166096,5
7,0.8955060029558952,0.08688626423929922,0.2366247772175469,5
8,0.8564542786593006,0.06847015388423036,0.3510150986570497,5
9,0.8825037114333625,0.1133299098773468,0.12267303941176598,5
0,0.8636278315910755,0.3600295309226934,6.23849217888374e-07,6
1,0.8893745905432817,0.3153081713726976,1.2733712134301615e-05,6
2,0.8847861360366043,0.3415085638363315,2.2751510603037157e-06,6
3,0.8778234140845858,0.41107512313632505,1.2683186658857764e-08,6
4,0.8885061603343746,0.3600295309226934,6.23849217888374e-07,6
5,0.8838777655625001,0.3943610796681447,4.790499498879849e-08,6
6,0.8525763234937179,0.298142396999972,3.6750141408695116e-05,6
7,0.8974776178193464,0.4350168610772319,1.7260418193846616e-09,6
8,0.8835831785010685,0.403395697759053,2.3507951410712742e-08,6
9,0.9054734057676724,0.2385139175999776,0.0009613077249580178,6
0,0.7414139353710856,0.24876204176966105,0.0006829765408521758,7
1,0.6896711791552644,0.35802039376274497,1.018569585274211e-06,7
2,0.5488928972603401,0.2675188403950832,0.00025979275553253856,7
3,0.7781347586159783,0.19389840579030126,0.008114321454122478,7
4,0.7683064323752211,0.25251340149474544,0.0005657162643092567,7
5,0.7489076057037283,0.2539201613916521,0.0005267984059540716,7
6,0.7669290042627158,0.2384458025256789,0.0011320220221104382,7
7,0.6807577278981749,0.3022189178521141,3.6886329078118764e-05,7
8,0.6895159875189233,0.27877291957033645,0.00014119885870715122,7
9,0.668222741840728,0.25720260115110105,0.00044548262970684236,7
0,0.9388994775098984,0.2904078940607012,7.634145021340283e-05,8
1,0.954342046436006,0.2908801020185235,7.431329426400142e-05,8
2,0.9428464054420632,0.24602034602540698,0.0008051802785697885,8
3,0.975374501810158,0.3318937558296151,6.228149473926768e-06,8
4,0.9561145596842092,0.2908801020185235,7.431329426400142e-05,8
5,0.9585477751977812,0.2139102048934921,0.0035724138498998037,8
6,0.973525480602366,0.2639642484226536,0.0003238697128657788,8
7,0.9394468343584972,0.2776582791994997,0.00015560864236162443,8
8,0.8306360496201279,0.28238035877772244,0.00011993335152612741,8
9,0.9610073329530344,0.3408063604777264,3.5231308890169334e-06,8
0,0.4989683547755354,0.14222013149453694,0.0544286412931432,9
1,0.5621147042289445,0.12435206743580055,0.09261563304938722,9
2,0.4206454572849676,0.1195228609334394,0.10599754842494576,9
3,0.3761766325954874,0.10262063817517524,0.1651799384080117,9
4,0.2790417667917544,0.10406940012588356,0.15929326539753094,9
5,0.4514585011458646,0.18858051391720435,0.010760084154942144,9
6,0.4081778988660826,0.047084763398021576,0.5242665693094064,9
7,0.4994628173851505,0.13594216304146742,0.06598799888774279,9
8,0.3425677002989517,-0.009416952679604315,0.8986582541602917,9
9,0.3081153183333297,0.14656641734666204,0.047458043899911886,9
0,0.8514801787432087,0.20309287219937067,0.004744946572332914,10
1,0.8023805642877866,0.2115830032704115,0.003261982746650848,10
