,$R^2$,$\kappa$,$P-value$,OTU
0,0.1704894264809248,0.16334323543803556,0.02505711536219564,0
1,0.16647798193273067,0.2350661858428387,0.001262725402574808,0
2,0.1599922290525616,0.21979613833729994,0.002570932844239149,0
3,0.1803981769708032,0.176299639382129,0.015595810573069491,0
4,0.0814401153714217,0.1832405700664648,0.01195581756010728,0
5,0.07965808950362308,0.14390862952189534,0.04838817001805162,0
6,-0.18089560460669385,0.1966597027228473,0.006985993750149722,0
7,0.14267220927086022,0.11429399193539595,0.11694415007832296,0
8,0.2079349337430647,0.17537418195755092,0.016148351087160968,0
9,0.18442937594224296,0.1772250968067071,0.015059973777765396,0
0,0.7012079712012849,0.3528148812784048,1.3776391474692206e-06,1
1,0.6526083333322461,0.3844867122050471,1.4277890825355857e-07,1
2,0.66702976719251,0.3430338746687064,2.67441064057492e-06,1
3,0.6428557011011569,0.3379104902541025,3.759587762958857e-06,1
4,0.7302764525089338,0.42407650086334986,6.497729601442191e-09,1
5,0.6751201858306948,0.3709796078392731,3.83856784760876e-07,1
6,0.7436301916259811,0.3798290900099526,2.0155507976146446e-07,1
7,0.6813155529795379,0.371911132278292,3.589299442334107e-07,1
8,0.7024248977259375,0.3388420146931214,3.5350866440705507e-06,1
9,0.7712664258413897,0.3910073832781792,8.753205210994512e-08,1
0,0.08981081531516155,0.2872810306618441,9.839330333754966e-05,2
1,0.10336574240649744,0.29398984538956024,6.73472248869708e-05,2
2,0.15554142900922008,0.32705471797616115,9.262457281971666e-06,2
3,-0.05378611866004301,0.3553275800429649,1.4573852338010303e-06,2
4,-0.10468487882262778,0.32226270745636393,1.2496048515789407e-05,2
5,0.10409001817516594,0.3093242790529114,2.7486597138327037e-05,2
6,0.19760160505291224,0.28584342750590497,0.00010661098117927487,2
7,-0.1588806856982541,0.3002194590652967,4.702933515874247e-05,2
8,0.1149486806922011,0.2652377822707769,0.00032353131323205965,2
9,0.13831851266594966,0.29590664959747914,6.034613482161649e-05,2
0,0.7807529149445086,0.4844853647256576,4.136455657813423e-11,3
1,0.7261289646583569,0.5099845944480605,3.7465374865986745e-12,3
2,0.7617959794714395,0.4537918474672095,6.368325004693652e-10,3
3,0.6958311500691372,0.4689025021175224,1.6933351695977716e-10,3
4,0.7261121612521995,0.4245149540822283,7.370487758311956e-09,3
5,0.7069034412533689,0.4622915907080105,3.038384002983898e-10,3
6,0.7864603673884156,0.4825965328943685,4.9186341294227744e-11,3
7,0.7674726509186577,0.4523752235937426,7.195083069096273e-10,3
8,0.7331584898424557,0.40279338802240333,4.1022852350261976e-08,3
9,0.6947892566927621,0.4575695111297877,4.590828492153634e-10,3
0,0.4866479048120301,0.3709796078392731,3.83856784760876e-07,4
1,0.461801785238941,0.3728426567173109,3.3556899487890376e-07,4
2,0.10867159159894467,0.35560945459546145,1.1361722926023208e-06,4
3,0.618962193288654,0.3798290900099526,2.0155507976146446e-07,4
4,0.617622940826312,0.4073090609610098,2.4901804141670053e-08,4
5,0.6031913451455921,0.3933361943757265,7.336043151540666e-08,4
6,0.4608096458821286,0.3649246989856503,5.916177040508328e-07,4
7,0.4929813725516712,0.4077748231805193,2.400622600807481e-08,4
8,0.4886749347708656,0.3938019565952359,7.080589766408434e-08,4
9,0.4950267416578922,0.3933361943757265,7.336043151540666e-08,4
0,0.49527018340324397,0.2857179184220972,7.373733820931243e-05,5
1,0.5099279652847553,0.3180633431491271,1.021198354362552e-05,5
2,0.41420584909341374,0.27313914213936336,0.00015102258233907595,5
3,0.4225080422200842,0.27853004626053496,0.00011146650337580388,5
4,0.2455531141665387,0.30593380887649085,2.192210710944832e-05,5
5,0.4843913313549545,0.32659894134098216,5.869021665753295e-06,5
6,0.3449215440038539,0.2969489686745381,3.7935560577171286e-05,5
7,0.4656485919310222,0.26864672203838696,0.0001937290040179255,5
8,0.4783442827780245,0.3355837815429349,3.2287487200212095e-06,5
9,0.3833432449475165,0.26954520605858223,0.0001843707898120297,5
0,0.7671239314350125,0.5479495872135848,3.326037739477758e-14,6
1,0.7676687649531971,0.4643793698726836,1.2917516636043162e-10,6
2,0.6977711850254101,0.4621207153499566,1.5858984046067289e-10,6
3,0.8086389150629257,0.5194905402272239,6.431278452530592e-13,6
4,0.6973898356234192,0.5100041912317703,1.6686490333074405e-12,6
5,0.7574309758413027,0.5145215002772243,1.0619580316334508e-12,6
6,0.7688810259308198,0.5818294050544907,8.017476074662669e-16,6
7,0.7933442474940526,0.5398184309317674,7.874549253531468e-14,6
8,0.7695875391599847,0.5190388093226784,6.732581909707261e-13,6
9,0.8392890684589445,0.5407218927408582,7.159856408037348e-14,6
0,0.5022892757163899,0.38335992631135984,1.8948464979539637e-07,7
1,0.4066205043644648,0.36385898713174974,7.638829296011669e-07,7
